Yt,Xt
30.2,10.486722
28.2,10.719325
26.6,11.155578
25,11.116206
26,10.40525
26,9.402518
26,8.482822
24,7.5866675
23,7.6365867
24,8.487648
25,9.357371
26,10.338728
27,10.5233135
29,10.63597
29,9.964803
29,9.214411
29,8.772117
28,8.753794
27,8.807467
27,8.77486
27,8.675813
27,8.91592
27,9.227945
27,9.49179
27,9.907828
28,10.095885
29,9.879244
31,9.503339
31,9.008138
32,8.729765
32,8.912433
31,9.3376875
31,9.351754
30,8.640116
30,7.750329
29,6.815522
27,6.9653473
26,7.022172
25,6.9463325
25,6.8342905
24,6.6867456
24,7.5935626
25,8.999838
25,11.022134
25,12.198974
26,11.969586
26,9.593794
27,7.763611
27,7.517936
27,8.041439
27,8.654108
28,8.514708
28,7.923108
27,7.097172
27,6.81578
26,7.661589
25,8.718614
23,8.457276
22,7.1849914
21,6.950173
20,7.205668
19,7.8984804
19,8.744758
20,9.623435
21,10.253539
21,10.703334
21,10.663057
22,10.423121
24,11.240661
26,12.098125
27,12.845977
28,12.583639
